Name,Icon_Image,Photo_Image,House_Image,Animal,Gender,Personality,Hobby,Birthday,Catchphrase,Favorite_Song,Favorite_Saying
Colton,https://acnhcdn.com/latest/NpcIcon/hrs11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs11.png,https://acnhcdn.com/drivesync/render/houses/hrs11_216_Colton.png,Horse,Male,Smug,Nature,22-May,check it,K.K. Chorale,Make hay while the sun shines.
Cookie,https://acnhcdn.com/latest/NpcIcon/dog08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog08.png,https://acnhcdn.com/drivesync/render/houses/dog08_126_Cookie.png,Dog,Female,Peppy,Fashion,18-Jun,arfer,Bubblegum K.K.,Don't lose sight of what you're really after.
Cousteau,https://acnhcdn.com/latest/NpcIcon/flg10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg10.png,https://acnhcdn.com/drivesync/render/houses/flg10_167_Cousteau.png,Frog,Male,Jock,Fitness,17-Dec,oui oui,Imperial K.K.,"Jump first, ask questions later."
Cranston,https://acnhcdn.com/latest/NpcIcon/ost06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOst06.png,https://acnhcdn.com/drivesync/render/houses/ost06_273_Cranston.png,Ostrich,Male,Lazy,Nature,23-Sep,sweatband,K.K. Faire,Hard work beats talent.
Croque,https://acnhcdn.com/latest/NpcIcon/flg17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg17.png,https://acnhcdn.com/drivesync/render/houses/flg17_173_Croque.png,Frog,Male,Cranky,Nature,18-Jul,as if,K.K. Folk,"Where there's smoke, there's fire."
Cube,https://acnhcdn.com/latest/NpcIcon/pgn02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn02.png,https://acnhcdn.com/drivesync/render/houses/pgn02_289_Cube.png,Penguin,Male,Lazy,Play,29-Jan,brainfreeze,Farewell,Sometimes you gotta learn to chill.
Curlos,https://acnhcdn.com/latest/NpcIcon/shp08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp08.png,https://acnhcdn.com/drivesync/render/houses/shp08_345_Curlos.png,Sheep,Male,Smug,Nature,08-May,shearly,K.K. Salsa,"If you want to know yourself better, ask your neighbors."
Curly,https://acnhcdn.com/latest/NpcIcon/pig00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig00.png,https://acnhcdn.com/drivesync/render/houses/pig00_300_Curly.png,Pig,Male,Jock,Fitness,26-Jul,nyoink,K.K. Reggae,Get fired up!
Curt,https://acnhcdn.com/latest/NpcIcon/bea02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea02.png,https://acnhcdn.com/drivesync/render/houses/bea02_388_Curt.png,Bear,Male,Cranky,Nature,01-Jul,fuzzball,Comrade K.K.,A Bell saved is a Bell earned.
Cyd,https://acnhcdn.com/latest/NpcIcon/elp12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp12.png,https://acnhcdn.com/drivesync/render/houses/elp12_158_Cyd.png,Elephant,Male,Cranky,Music,09-Jun,rockin',K.K. Metal,"Do what you want, but do it loud!"
Cyrano,https://acnhcdn.com/latest/NpcIcon/ant00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlAnt00.png,https://acnhcdn.com/drivesync/render/houses/ant00_12_Cyrano.png,Anteater,Male,Cranky,Education,09-Mar,ah-CHOO,K.K. Lament,Don't punch your nose to spite your face.
Daisy,https://acnhcdn.com/latest/NpcIcon/dog07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog07.png,https://acnhcdn.com/drivesync/render/houses/dog07_125_Daisy.png,Dog,Female,Normal,Education,16-Nov,bow-WOW,Forest Life,It's not always a dog-eat-dog world.
Deena,https://acnhcdn.com/latest/NpcIcon/duk04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk04.png,https://acnhcdn.com/drivesync/render/houses/duk04_137_Deena.png,Duck,Female,Normal,Education,27-Jun,woowoo,Mr. K.K.,Duck...duck...GOOSE!
Deirdre,https://acnhcdn.com/latest/NpcIcon/der04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer04.png,https://acnhcdn.com/drivesync/render/houses/der04_112_Deirdre.png,Deer,Female,Big Sister,Play,04-May,whatevs,K.K. Bossa,"Legs of an antelope, heart of an eagle."
Del,https://acnhcdn.com/latest/NpcIcon/crd04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd04.png,https://acnhcdn.com/drivesync/render/houses/crd04_105_Del.png,Alligator,Male,Cranky,Fitness,27-May,gronk,Pondering,The hero is brave in deeds as well as words.
Deli,https://acnhcdn.com/latest/NpcIcon/mnk08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMnk08.png,https://acnhcdn.com/drivesync/render/houses/mnk08_249_Deli.png,Monkey,Male,Lazy,Nature,24-May,monch,K.K. Étude,"Righty tighty, lefty loosey."
Derwin,https://acnhcdn.com/latest/NpcIcon/duk08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk08.png,https://acnhcdn.com/drivesync/render/houses/duk08_140_Derwin.png,Duck,Male,Lazy,Play,25-May,derrrr,K.K. Stroll,Everything in moderation. Except for snacks.
Diana,https://acnhcdn.com/latest/NpcIcon/der08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer08.png,https://acnhcdn.com/drivesync/render/houses/der08_116_Diana.png,Deer,Female,Snooty,Education,04-Jan,no doy,Farewell,Sometimes you have to lose to win.
Diva,https://acnhcdn.com/latest/NpcIcon/flg18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg18.png,https://acnhcdn.com/drivesync/render/houses/flg18_174_Diva.png,Frog,Female,Big Sister,Fitness,02-Oct,ya know,K.K. Oasis,Eyes are the windows to the soul.
Dizzy,https://acnhcdn.com/latest/NpcIcon/elp01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp01.png,https://acnhcdn.com/drivesync/render/houses/elp01_149_Dizzy.png,Elephant,Male,Lazy,Play,14-Jul,woo-oo,Two Days Ago,Keep it mellow.
Dobie,https://acnhcdn.com/latest/NpcIcon/wol04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol04.png,https://acnhcdn.com/drivesync/render/houses/wol04_381_Dobie.png,Wolf,Male,Cranky,Nature,17-Feb,ohmmm,Agent K.K.,Old longings never truly fade.
Doc,https://acnhcdn.com/latest/NpcIcon/rbt10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt10.png,https://acnhcdn.com/drivesync/render/houses/rbt10_324_Doc.png,Rabbit,Male,Lazy,Education,16-Mar,old bunny,Pondering,One cannot live on carrots alone.
Dom,https://acnhcdn.com/latest/NpcIcon/shp15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp15.png,https://acnhcdn.com/drivesync/render/houses/shp15_351_Dom.png,Sheep,Male,Jock,Play,18-Mar,indeedaroo,K.K. Country,Be true to your most shiny self.
Dora,https://acnhcdn.com/latest/NpcIcon/mus00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus00.png,https://acnhcdn.com/drivesync/render/houses/mus00_250_Dora.png,Mouse,Female,Normal,Education,18-Feb,squeaky,K.K. Faire,The squeaky wheel gets the cheese.
Dotty,https://acnhcdn.com/latest/NpcIcon/rbt01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt01.png,https://acnhcdn.com/drivesync/render/houses/rbt01_315_Dotty.png,Rabbit,Female,Peppy,Fashion,14-Mar,wee one,Drivin',It's always a good hare day.
Drago,https://acnhcdn.com/latest/NpcIcon/crd08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd08.png,https://acnhcdn.com/drivesync/render/houses/crd08_108_Drago.png,Alligator,Male,Lazy,Nature,12-Feb,burrrn,Imperial K.K.,There is no room for two dragons in one pond.
Drake,https://acnhcdn.com/latest/NpcIcon/duk09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk09.png,https://acnhcdn.com/drivesync/render/houses/duk09_141_Drake.png,Duck,Male,Lazy,Play,25-Jun,quacko,K.K. Blues,...Quack.
Drift,https://acnhcdn.com/latest/NpcIcon/flg04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg04.png,https://acnhcdn.com/drivesync/render/houses/flg04_162_Drift.png,Frog,Male,Jock,Fitness,09-Oct,dribbit,K.K. Metal,Always go for the gold!
Ed,https://acnhcdn.com/latest/NpcIcon/hrs06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs06.png,https://acnhcdn.com/drivesync/render/houses/hrs06_212_Ed.png,Horse,Male,Smug,Nature,16-Sep,greenhorn,K.K. Ballad,Beauty is pretty!
Egbert,https://acnhcdn.com/latest/NpcIcon/chn02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn02.png,https://acnhcdn.com/drivesync/render/houses/chn02_91_Egbert.png,Chicken,Male,Lazy,Play,14-Oct,doodle-duh,Lucky K.K.,You gotta break a few eggs to make an omelet.
Elise,https://acnhcdn.com/latest/NpcIcon/mnk05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMnk05.png,https://acnhcdn.com/drivesync/render/houses/mnk05_246_Elise.png,Monkey,Female,Snooty,Fashion,21-Mar,puh-lease,K.K. Bossa,"Do as I say, not as I do."
Ellie,https://acnhcdn.com/latest/NpcIcon/elp07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp07.png,https://acnhcdn.com/drivesync/render/houses/elp07_155_Ellie.png,Elephant,Female,Normal,Nature,12-May,li'l one,K.K. Ballad,You need the sour to highlight the sweet.
Elmer,https://acnhcdn.com/latest/NpcIcon/hrs03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs03.png,https://acnhcdn.com/drivesync/render/houses/hrs03_209_Elmer.png,Horse,Male,Lazy,Play,05-Oct,tenderfoot,K.K. Country,"The horse doesn't pull the cart, the oats do."
Eloise,https://acnhcdn.com/latest/NpcIcon/elp03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp03.png,https://acnhcdn.com/drivesync/render/houses/elp03_151_Eloise.png,Elephant,Female,Snooty,Fashion,08-Dec,tooooot,K.K. Soul,An elephant never forgets.
Elvis,https://acnhcdn.com/latest/NpcIcon/lon01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlLon01.png,https://acnhcdn.com/drivesync/render/houses/lon01_237_Elvis.png,Lion,Male,Cranky,Education,23-Jul,unh-hunh,K.K. Casbah,Better a live coward than a forgotten hero.
Erik,https://acnhcdn.com/latest/NpcIcon/der09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer09.png,https://acnhcdn.com/drivesync/render/houses/der09_117_Erik.png,Deer,Male,Lazy,Nature,27-Jul,chow down,Drivin',"If you're afraid of wolves, don't go to the woods."
Eugene,https://acnhcdn.com/latest/NpcIcon/kal10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKal10.png,https://acnhcdn.com/drivesync/render/houses/kal10_227_Eugene.png,Koala,Male,Smug,Music,26-Oct,yeah buddy,Agent K.K.,Imitation is the sincerest form of flattery.
Eunice,https://acnhcdn.com/latest/NpcIcon/shp02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp02.png,https://acnhcdn.com/drivesync/render/houses/shp02_342_Eunice.png,Sheep,Female,Normal,Fashion,03-Apr,lambchop,K.K. Disco,There is a point to every encounter.
Fang,https://acnhcdn.com/latest/NpcIcon/wol06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol06.png,https://acnhcdn.com/drivesync/render/houses/wol06_383_Fang.png,Wolf,Male,Cranky,Education,18-Dec,cha-chomp,K.K. Steppe,"You mess with the wolf, you get the fangs."
Fauna,https://acnhcdn.com/latest/NpcIcon/der00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer00.png,https://acnhcdn.com/drivesync/render/houses/der00_109_Fauna.png,Deer,Female,Normal,Nature,26-Mar,dearie,K.K. Stroll,The first step is always the hardest.
Felicity,https://acnhcdn.com/latest/NpcIcon/cat17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat17.png,https://acnhcdn.com/drivesync/render/houses/cat17_68_Felicity.png,Cat,Female,Peppy,Fashion,30-Mar,mimimi,K.K. Stroll,Love has no bounds.
Filbert,https://acnhcdn.com/latest/NpcIcon/squ02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu02.png,https://acnhcdn.com/drivesync/render/houses/squ02_354_Filbert.png,Squirrel,Male,Lazy,Nature,03-Jun,bucko,Stale Cupcakes,Don't go nuts or anything.
Flip,https://acnhcdn.com/latest/NpcIcon/mnk06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMnk06.png,https://acnhcdn.com/drivesync/render/houses/mnk06_247_Flip.png,Monkey,Male,Jock,Music,21-Nov,rerack,K.K. Rally,"See no donut, hear no donut, speak no donut."
Flo,https://acnhcdn.com/latest/NpcIcon/pgn13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn13.png,https://acnhcdn.com/drivesync/render/houses/pgn13_298_Flo.png,Penguin,Female,Big Sister,Music,02-Sep,cha,Space K.K.,Always keep a straight face.
Flora,https://acnhcdn.com/latest/NpcIcon/ost09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOst09.png,https://acnhcdn.com/drivesync/render/houses/ost09_276_Flora.png,Ostrich,Female,Peppy,Play,09-Feb,pinky,K.K. Condor,Pink is the new black.
Flurry,https://acnhcdn.com/latest/NpcIcon/ham06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam06.png,https://acnhcdn.com/drivesync/render/houses/ham06_198_Flurry.png,Hamster,Female,Normal,Nature,30-Jan,powderpuff,Hypno K.K.,"Squeak your mind, even if your voice shakes."
Francine,https://acnhcdn.com/latest/NpcIcon/rbt12.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt12.png,https://acnhcdn.com/drivesync/render/houses/rbt12_326_Francine.png,Rabbit,Female,Snooty,Fashion,22-Jan,karat,K.K. Cruisin',You can't have wise folks if you don't have fools too.
Frank,https://acnhcdn.com/latest/NpcIcon/pbr06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr06.png,https://acnhcdn.com/drivesync/render/houses/pbr06_283_Frank.png,Eagle,Male,Cranky,Education,30-Jul,crushy,K.K. Casbah,Today is the last day of the rest of your life.
Freckles,https://acnhcdn.com/latest/NpcIcon/duk07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk07.png,https://acnhcdn.com/drivesync/render/houses/duk07_2_Freckles.png,Duck,Female,Peppy,Fashion,19-Feb,ducky,Marine Song 2001,Act now before you change your mind!
Freya,https://acnhcdn.com/latest/NpcIcon/wol05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol05.png,https://acnhcdn.com/drivesync/render/houses/wol05_382_Freya.png,Wolf,Female,Snooty,Fashion,14-Dec,uff da,Lucky K.K.,Don't stray too far from the pack.
Friga,https://acnhcdn.com/latest/NpcIcon/pgn04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn04.png,https://acnhcdn.com/drivesync/render/houses/pgn04_291_Friga.png,Penguin,Female,Snooty,Fashion,16-Oct,brrrmph,Farewell,You can't learn a life lesson from a fortune cookie.
Frita,https://acnhcdn.com/latest/NpcIcon/shp11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlShp11.png,https://acnhcdn.com/drivesync/render/houses/shp11_348_Frita.png,Sheep,Female,Big Sister,Music,16-Jul,oh ewe,K.K. Rockabilly,Don't sweat the small potatoes.
Frobert,https://acnhcdn.com/latest/NpcIcon/flg02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg02.png,https://acnhcdn.com/drivesync/render/houses/flg02_4_Frobert.png,Frog,Male,Jock,Fitness,08-Feb,fribbit,K.K. Ragtime,Always aim high!
Fuchsia,https://acnhcdn.com/latest/NpcIcon/der06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer06.png,https://acnhcdn.com/drivesync/render/houses/der06_114_Fuchsia.png,Deer,Female,Big Sister,Music,19-Sep,precious,K.K. Rock,It takes one to know one.
Gabi,https://acnhcdn.com/latest/NpcIcon/rbt05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt05.png,https://acnhcdn.com/drivesync/render/houses/rbt05_319_Gabi.png,Rabbit,Female,Peppy,Fashion,16-Dec,honeybun,Neapolitan,The more the merrier.
Gala,https://acnhcdn.com/latest/NpcIcon/pig13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig13.png,https://acnhcdn.com/drivesync/render/houses/pig13_309_Gala.png,Pig,Female,Normal,Education,05-Mar,snortie,Animal City,Still waters run deep.
Gaston,https://acnhcdn.com/latest/NpcIcon/rbt04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt04.png,https://acnhcdn.com/drivesync/render/houses/rbt04_318_Gaston.png,Rabbit,Male,Cranky,Education,28-Oct,mon chou,K.K. Song,An ear for an ear makes it hard to hear.
Gayle,https://acnhcdn.com/latest/NpcIcon/crd07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCrd07.png,https://acnhcdn.com/drivesync/render/houses/crd07_107_Gayle.png,Alligator,Female,Normal,Nature,17-May,snacky,Bubblegum K.K.,An ounce of prevention is worth a pound of cure.
Genji,https://acnhcdn.com/latest/NpcIcon/rbt08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt08.png,https://acnhcdn.com/drivesync/render/houses/rbt08_322_Genji.png,Rabbit,Male,Jock,Fitness,21-Jan,mochi,King K.K.,"Fall down seven times, get up eight."
Gigi,https://acnhcdn.com/latest/NpcIcon/flg16.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg16.png,https://acnhcdn.com/drivesync/render/houses/flg16_172_Gigi.png,Frog,Female,Snooty,Fashion,11-Aug,ribbette,K.K. Swing,Look at the world through rose-colored glasses.
Gladys,https://acnhcdn.com/latest/NpcIcon/ost01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOst01.png,https://acnhcdn.com/drivesync/render/houses/ost01_269_Gladys.png,Ostrich,Female,Normal,Education,15-Jan,stretch,K.K. Folk,Smiles are free.
Gloria,https://acnhcdn.com/latest/NpcIcon/duk15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk15.png,https://acnhcdn.com/drivesync/render/houses/duk15_145_Gloria.png,Duck,Female,Snooty,Fashion,12-Aug,quacker,Animal City,Time is money.
Goldie,https://acnhcdn.com/latest/NpcIcon/dog00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog00.png,https://acnhcdn.com/drivesync/render/houses/dog00_118_Goldie.png,Dog,Female,Normal,Nature,27-Dec,woof,K.K. Bossa,A little bit of happiness is better than a lot of anguish.
Gonzo,https://acnhcdn.com/latest/NpcIcon/kal04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKal04.png,https://acnhcdn.com/drivesync/render/houses/kal04_223_Gonzo.png,Koala,Male,Cranky,Nature,13-Oct,mate,Surfin' K.K.,"Brothers are brothers, cheese is cheese."
Goose,https://acnhcdn.com/latest/NpcIcon/chn00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn00.png,https://acnhcdn.com/drivesync/render/houses/chn00_89_Goose.png,Chicken,Male,Jock,Fitness,04-Oct,buh-kay,K.K. Country,Birds of a feather crow together.
Graham,https://acnhcdn.com/latest/NpcIcon/ham02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam02.png,https://acnhcdn.com/drivesync/render/houses/ham02_195_Graham.png,Hamster,Male,Smug,Education,20-Jun,indeed,Bubblegum K.K.,Knowledge is power.
Greta,https://acnhcdn.com/latest/NpcIcon/mus16.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus16.png,https://acnhcdn.com/drivesync/render/houses/mus16_262_Greta.png,Mouse,Female,Snooty,Education,05-Sep,yelp,Comrade K.K.,The world is a stage.
Grizzly,https://acnhcdn.com/latest/NpcIcon/bea09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea09.png,https://acnhcdn.com/drivesync/render/houses/bea09_26_Grizzly.png,Bear,Male,Cranky,Education,31-Jul,grrr,K.K. Condor,Those who live in glass houses shouldn't throw stones.
Groucho,https://acnhcdn.com/latest/NpcIcon/bea06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea06.png,https://acnhcdn.com/drivesync/render/houses/bea06_23_Groucho.png,Bear,Male,Cranky,Music,23-Oct,grumble,K.K. Metal,Rocky road is more than just a flavor of ice cream.
Gruff,https://acnhcdn.com/latest/NpcIcon/goa04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGoa04.png,https://acnhcdn.com/drivesync/render/houses/goa04_179_Gruff.png,Goat,Male,Cranky,Music,29-Aug,bleh eh eh,K.K. Rockabilly,Don't burn bridges.
Gwen,https://acnhcdn.com/latest/NpcIcon/pgn05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn05.png,https://acnhcdn.com/drivesync/render/houses/pgn05_292_Gwen.png,Penguin,Female,Snooty,Fashion,23-Jan,h-h-h-hon,Drivin',"Mind your manners, or someone else will."
Hamlet,https://acnhcdn.com/latest/NpcIcon/ham00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam00.png,https://acnhcdn.com/drivesync/render/houses/ham00_193_Hamlet.png,Hamster,Male,Jock,Play,30-May,hammie,K.K. Reggae,The ear's the thing.
Hamphrey,https://acnhcdn.com/latest/NpcIcon/ham07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHam07.png,https://acnhcdn.com/drivesync/render/houses/ham07_199_Hamphrey.png,Hamster,Male,Cranky,Nature,25-Feb,snort,Comrade K.K.,Children should be seen and not heard.
Hans,https://acnhcdn.com/latest/NpcIcon/gor10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGor10.png,https://acnhcdn.com/drivesync/render/houses/gor10_192_Hans.png,Gorilla,Male,Smug,Fitness,05-Dec,groovy,K.K. Sonata,One good turn deserves another.
Harry,https://acnhcdn.com/latest/NpcIcon/hip08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHip08.png,https://acnhcdn.com/drivesync/render/houses/hip08_205_Harry.png,Hippo,Male,Cranky,Education,07-Jan,beach bum,K.K. Rally,Patience is a virtue for folks with time.
Hazel,https://acnhcdn.com/latest/NpcIcon/squ18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu18.png,https://acnhcdn.com/drivesync/render/houses/squ18_369_Hazel.png,Squirrel,Female,Big Sister,Play,30-Aug,uni-wow,DJ K.K.,Never say never!
Henry,https://acnhcdn.com/latest/NpcIcon/flg19.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg19.png,https://acnhcdn.com/drivesync/render/houses/flg19_175_Henry.png,Frog,Male,Smug,Music,21-Sep,snoozit,K.K. Soul,The way to a frog's heart is through his stomach.
Hippeux,https://acnhcdn.com/latest/NpcIcon/hip09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHip09.png,https://acnhcdn.com/drivesync/render/houses/hip09_6_Hippeux.png,Hippo,Male,Smug,Education,15-Oct,natch,K.K. Sonata,Mottoes are for the unoriginal.
Hopkins,https://acnhcdn.com/latest/NpcIcon/rbt14.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRbt14.png,https://acnhcdn.com/drivesync/render/houses/rbt14_328_Hopkins.png,Rabbit,Male,Lazy,Nature,11-Mar,thumper,Pondering,A wise mammal gives danger a wide berth.
Hopper,https://acnhcdn.com/latest/NpcIcon/pgn03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn03.png,https://acnhcdn.com/drivesync/render/houses/pgn03_290_Hopper.png,Penguin,Male,Cranky,Music,06-Apr,slushie,Comrade K.K.,Always have a comeback.
Hornsby,https://acnhcdn.com/latest/NpcIcon/rhn04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlRhn04.png,https://acnhcdn.com/drivesync/render/houses/rhn04_337_Hornsby.png,Rhino,Male,Lazy,Nature,20-Mar,schnozzle,K.K. Lament,You can't hit a mosquito with a horseshoe.
Huck,https://acnhcdn.com/latest/NpcIcon/flg11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg11.png,https://acnhcdn.com/drivesync/render/houses/flg11_168_Huck.png,Frog,Male,Smug,Fitness,09-Jul,hopper,To the Edge,Cold coffee makes for a cold demeanor.
Hugh,https://acnhcdn.com/latest/NpcIcon/pig03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig03.png,https://acnhcdn.com/drivesync/render/houses/pig03_302_Hugh.png,Pig,Male,Lazy,Play,30-Dec,snortle,My Place,Keep it real. Real chill.
Iggly,https://acnhcdn.com/latest/NpcIcon/pgn11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPgn11.png,https://acnhcdn.com/drivesync/render/houses/pgn11_296_Iggly.png,Penguin,Male,Jock,Fitness,02-Nov,waddler,I Love You,"Six of one, half dozen of the other."
Ike,https://acnhcdn.com/latest/NpcIcon/bea11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea11.png,https://acnhcdn.com/drivesync/render/houses/bea11_28_Ike.png,Bear,Male,Cranky,Nature,16-May,roadie,K.K. Rock,"The higher you climb, the smaller things look."
Jacob,https://acnhcdn.com/latest/NpcIcon/brd11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd11.png,https://acnhcdn.com/drivesync/render/houses/brd11_41_Jakey.png,Bird,Male,Lazy,Nature,24-Aug,ya feel,K.K. Song,Your greatest strength can be your greatest weakness.
Jacques,https://acnhcdn.com/latest/NpcIcon/brd16.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd16.png,https://acnhcdn.com/drivesync/render/houses/brd16_43_Jacques.png,Bird,Male,Smug,Music,22-Jun,zut alors,K.K. Technopop,Better to have loved and squawked than to have never loved at all.
Jambette,https://acnhcdn.com/latest/NpcIcon/flg13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg13.png,https://acnhcdn.com/drivesync/render/houses/flg13_170_Jambette.png,Frog,Female,Normal,Fashion,27-Oct,croak-kay,K.K. Cruisin',It takes more muscles to frown than smile.
Jay,https://acnhcdn.com/latest/NpcIcon/brd00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd00.png,https://acnhcdn.com/drivesync/render/houses/brd00_33_Jay.png,Bird,Male,Jock,Fitness,17-Jul,heeeeeyy,K.K. Country,He who hesitates has lost.
Jeremiah,https://acnhcdn.com/latest/NpcIcon/flg07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg07.png,https://acnhcdn.com/drivesync/render/houses/flg07_165_Jeremiah.png,Frog,Male,Lazy,Play,08-Jul,nee-deep,Hypno K.K.,Sleep before you leap.
Jitters,https://acnhcdn.com/latest/NpcIcon/brd04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd04.png,https://acnhcdn.com/drivesync/render/houses/brd04_37_Jitters.png,Bird,Male,Jock,Fitness,02-Feb,bzzert,K.K. Adventure,"When you're a team of one, you're always captain!"
Joey,https://acnhcdn.com/latest/NpcIcon/duk01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk01.png,https://acnhcdn.com/drivesync/render/houses/duk01_134_Joey.png,Duck,Male,Lazy,Play,03-Jan,bleeeeeck,Marine Song 2001,Don't get your feathers all ruffled. Just chill.
Judy,https://acnhcdn.com/latest/NpcIcon/cbr19.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr19.png,https://acnhcdn.com/drivesync/render/houses/cbr19_88_Judy.png,Cub,Female,Snooty,Music,10-Mar,myohmy,K.K. Lullaby,I'm dancing my dreams away.
